,num_of_prev_attempts,weighted_grade,pass_rate,exam_score,date,sum_click,prediction,class
2860,1,61.324999999999996,1.0,36.0,125.24057640732235,1.2784934350172146,0,class 1
211,0,92.91999999999999,1.0,74.0,85.38137028172105,2.049573603334189,1,class 2
1209,1,58.330000000000005,0.75,60.0,136.0374909251605,2.8903507741551837,1,class 3
276,0,46.290000000000006,0.75,44.0,108.61353050609404,2.0724662905645523,1,class 4
1527,0,21.669999999999998,0.5,74.0,103.10489417397055,2.418923595561526,1,class 5
2328,0,49.85,0.8461538461538461,36.0,68.77023592465022,1.5759787478432195,0,class 6
1620,0,51.95,0.75,82.0,114.45784220832368,2.390415072829933,1,class 7
1500,0,82.46999999999998,1.0,44.0,92.97188311688312,2.8499844426406926,1,class 8
1370,0,79.86,1.0,72.0,95.56275685849485,1.9393454226854712,1,class 9
1511,0,8.540000000000001,0.25,26.0,39.88878961262683,2.2785457006387237,0,class 10
1911,1,68.47,0.875,82.0,119.53813599543231,2.1610758671305548,1,class 11
1709,0,72.03999999999999,0.75,100.0,106.11219659835824,2.4902001843868318,1,class 12
482,0,44.61,0.625,26.0,116.85901032495453,2.6167114351321,0,class 13
2483,0,47.91,0.6923076923076923,47.0,84.54740427853811,1.672319422616691,1,class 14
3291,0,75.625,1.0,87.0,85.65728376871674,1.7944953693609496,1,class 15
4867,0,75.5,1.0,69.0,101.10617079745151,1.3630263500065012,1,class 16
4231,0,72.0,1.0,36.0,93.59576212719487,1.5253539291550988,0,class 17
4520,0,94.3,1.0,78.0,81.991488447981,1.6922410285596585,1,class 18
3505,0,41.6,0.5,78.0,77.55157574728085,1.6419025347505918,1,class 19
2332,0,55.949999999999996,0.8461538461538461,42.0,82.99324545246567,1.5034624673881969,1,class 20
906,1,62.9,1.0,50.0,97.15777962347728,3.965908084163899,1,class 21
2168,1,76.15999999999998,1.0,42.0,97.55147559056394,1.7177743129332157,1,class 22
4082,0,89.05,1.0,73.0,103.77686139128473,1.4130915653770677,1,class 23
1364,0,58.66,0.875,42.0,129.76607268831572,2.9879542331821054,1,class 24
239,0,20.83,0.5,80.0,136.53093888328937,3.485503461919669,1,class 25
3017,0,47.85,0.6666666666666666,29.0,53.499123494722085,1.5499776436396153,0,class 26
1830,0,86.71999999999998,1.0,84.0,138.81581511200292,3.5957057379019233,1,class 27
1098,1,31.75,0.625,100.0,83.47035378922175,2.471351430780826,1,class 28
3625,2,73.60000000000001,1.0,80.0,119.02224627224625,1.4131393298059967,1,class 29
2177,0,49.92,0.7692307692307693,53.0,74.93880520435255,1.3470183719880509,1,class 30
